invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,total_amount
I308341,C282397,MALE,29,Clothing,4,1200.32,Cash,17-05-2021,Istinye Park,4801.28
I939160,C895045,MALE,38,Toys,2,71.68,Cash,20-10-2022,Kanyon,143.36
I104142,C168396,MALE,41,Clothing,5,1500.4,Cash,03-12-2021,Kanyon,7502
I816678,C223000,MALE,24,Shoes,2,1200.34,Cash,04-11-2022,Kanyon,2400.68
I319110,C143657,MALE,42,Shoes,5,3000.85,Cash,25-10-2021,Kanyon,15004.25
I293905,C304981,MALE,46,Toys,5,179.2,Cash,23-10-2021,Metrocity,896
I317333,C111565,MALE,21,Shoes,3,1800.51,Debit Card,12-12-2021,Forum Istanbul,5401.53
I244607,C164316,MALE,61,Clothing,3,900.24,Credit Card,06-04-2022,Mall of Istanbul,2700.72
I316205,C240804,MALE,18,Books,3,45.45,Cash,25-06-2021,Kanyon,136.35
I105206,C279626,MALE,57,Books,5,75.75,Cash,03-12-2022,Kanyon,378.75
I114619,C233830,MALE,57,Clothing,5,1500.4,Cash,21-03-2021,Kanyon,7502
I317196,C103503,MALE,40,Toys,1,35.84,Cash,11-10-2022,Kanyon,35.84
I288454,C309228,MALE,36,Clothing,3,900.24,Cash,06-04-2022,Cevahir AVM,2700.72
I127801,C266599,MALE,20,Clothing,1,300.08,Cash,09-11-2021,Metrocity,300.08
I770343,C344156,MALE,35,Books,3,45.45,Cash,24-12-2021,Kanyon,136.35
I223342,C174948,MALE,41,Clothing,5,1500.4,Cash,04-08-2022,Kanyon,7502
I293455,C159642,MALE,69,Clothing,3,900.24,Credit Card,04-11-2021,Metrocity,2700.72
I179802,C312861,MALE,25,Clothing,2,600.16,Cash,17-11-2022,Cevahir AVM,1200.32
I688768,C362288,MALE,24,Shoes,5,3000.85,Credit Card,07-11-2021,Viaport Outlet,15004.25
I282732,C231476,MALE,24,Clothing,2,600.16,Credit Card,12-07-2022,Mall of Istanbul,1200.32
I314694,C168642,MALE,50,Toys,4,143.36,Cash,30-07-2021,Kanyon,573.44
I294687,C300786,MALE,65,Books,2,30.3,Debit Card,16-01-2021,Metrocity,60.6
I992454,C196845,MALE,24,Toys,4,143.36,Cash,07-03-2023,Cevahir AVM,573.44
I162047,C237281,MALE,40,Books,4,60.6,Cash,03-06-2021,Metrocity,242.4
I151359,C157069,MALE,45,Food & Beverage,5,26.15,Cash,12-10-2022,Metrocity,130.75
I183746,C220180,MALE,23,Clothing,1,300.08,Credit Card,15-02-2023,Emaar Square Mall,300.08
I470778,C167953,MALE,29,Food & Beverage,5,26.15,Cash,21-02-2022,Viaport Outlet,130.75
I823067,C322947,MALE,52,Clothing,2,600.16,Credit Card,18-06-2022,Cevahir AVM,1200.32
I225095,C207858,MALE,69,Clothing,5,1500.4,Cash,05-02-2021,Metropol AVM,7502
I160978,C279765,MALE,32,Clothing,2,600.16,Credit Card,15-12-2021,Metrocity,1200.32
I237655,C190222,MALE,32,Books,3,45.45,Cash,07-01-2022,Istinye Park,136.35
I195396,C285161,MALE,51,Toys,2,71.68,Debit Card,16-05-2021,Istinye Park,143.36
I217053,C192344,MALE,50,Shoes,4,2400.68,Cash,10-10-2022,Emaar Square Mall,9602.72
I209744,C251229,MALE,29,Cosmetics,3,121.98,Credit Card,29-04-2021,Istinye Park,365.94
I327979,C887687,MALE,30,Shoes,5,3000.85,Cash,09-02-2021,Metrocity,15004.25
I331891,C501658,MALE,23,Clothing,1,300.08,Credit Card,21-11-2021,Emaar Square Mall,300.08
